timestamp_ms,monotonic_ts,pressure
1779243750332,597764.593766,62
1779243750352,597764.614088,63
1779243750372,597764.634423,62
1779243750393,597764.654730,62
1779243750413,597764.675021,63
1779243750433,597764.695302,61
1779243750454,597764.716604,61
1779243750470,597764.731837,60
1779243750490,597764.752152,60
1779243750510,597764.772425,61
1779243750531,597764.792717,61
1779243750551,597764.813014,61
1779243750572,597764.834055,61
1779243750592,597764.854348,61
1779243750613,597764.874630,61
1779243750633,597764.894902,60
1779243750653,597764.915243,58
1779243750673,597764.935596,57
1779243750689,597764.950837,56
1779243750709,597764.971133,56
1779243750729,597764.991413,55
1779243750750,597765.011695,54
1779243750770,597765.031954,53
1779243750790,597765.052221,54
1779243750810,597765.072486,54
1779243750831,597765.092765,55
1779243750851,597765.113038,55
1779243750871,597765.133345,56
1779243750892,597765.154339,56
1779243750913,597765.174644,56
1779243750933,597765.194934,56
1779243750948,597765.210173,56
1779243750969,597765.231010,54
1779243750990,597765.251708,54
1779243751011,597765.272684,55
1779243751032,597765.294005,54
1779243751052,597765.314259,55
1779243751072,597765.334523,54
1779243751088,597765.349776,54
1779243751108,597765.370056,53
1779243751128,597765.390388,52
1779243751149,597765.410688,52
1779243751169,597765.430979,51
1779243751189,597765.451351,48
1779243751210,597765.471643,49
1779243751230,597765.491927,48
1779243751251,597765.512772,49
1779243751271,597765.533289,50
1779243751287,597765.549563,49
1779243751308,597765.570438,50
1779243751329,597765.591325,50
1779243751351,597765.613061,51
1779243751366,597765.628622,56
1779243751387,597765.648905,51
1779243751408,597765.670022,49
1779243751428,597765.690337,48
1779243751449,597765.710684,50
1779243751469,597765.730992,46
1779243751489,597765.751260,46
1779243751509,597765.771536,44
1779243751530,597765.791837,45
1779243751570,597765.832376,44
1779243751591,597765.852633,43
1779243751611,597765.872884,42
1779243751626,597765.888081,41
1779243751647,597765.909470,41
1779243751668,597765.929795,38
1779243751688,597765.950124,37
1779243751708,597765.970447,35
1779243751729,597765.990763,35
1779243751749,597766.011087,35
1779243751769,597766.031381,35
1779243751790,597766.051675,34
1779243751810,597766.071960,32
1779243751830,597766.092236,31
1779243751850,597766.112552,28
1779243751866,597766.127777,30
1779243751887,597766.148880,33
1779243751908,597766.170511,32
1779243751930,597766.192143,31
1779243751946,597766.208266,32
1779243751967,597766.229434,31
1779243751988,597766.249770,32
1779243752009,597766.271226,32
1779243752029,597766.291591,30
1779243752045,597766.306782,33
1779243752065,597766.327075,30
1779243752085,597766.347310,30
1779243752105,597766.367543,28
1779243752126,597766.387876,32
1779243752146,597766.408138,28
1779243752166,597766.428382,29
1779243752186,597766.448604,29
1779243752207,597766.468845,29
1779243752227,597766.489115,27
1779243752247,597766.509406,27
1779243752268,597766.530003,25
1779243752288,597766.550250,24
1779243752308,597766.570500,24
1779243752324,597766.586500,23
1779243752345,597766.606774,23
1779243752366,597766.628299,23
1779243752386,597766.648551,21
1779243752407,597766.668826,19
1779243752427,597766.689111,18
1779243752447,597766.709409,20
1779243752468,597766.730219,22
1779243752484,597766.745918,24
1779243752504,597766.766225,25
1779243752524,597766.786530,25
1779243752545,597766.806806,25
1779243752565,597766.827091,23
