frame_idx,image_path,frame_timestamp_ms,frame_monotonic_ts,matched_pressure,pressure_timestamp_ms,pressure_monotonic_ts,sync_error_ms
131,rgb/000131_1779243747954.png,1779243747954,597762.216324,35,1779243747961,597762.222717,6.393
132,rgb/000132_1779243747986.png,1779243747986,597762.248526,40,1779243747981,597762.243049,5.477
133,rgb/000133_1779243748019.png,1779243748019,597762.280987,36,1779243748016,597762.278611,2.376
134,rgb/000134_1779243748052.png,1779243748052,597762.313666,37,1779243748037,597762.298909,14.758
135,rgb/000135_1779243748084.png,1779243748084,597762.346125,40,1779243748077,597762.339451,6.674
136,rgb/000136_1779243748116.png,1779243748116,597762.378132,41,1779243748099,597762.361173,16.959
137,rgb/000137_1779243748148.png,1779243748148,597762.410603,40,1779243748140,597762.402567,8.037
138,rgb/000138_1779243748183.png,1779243748183,597762.445303,39,1779243748176,597762.438094,7.209
139,rgb/000139_1779243748213.png,1779243748213,597762.475499,40,1779243748198,597762.460329,15.17
140,rgb/000140_1779243748247.png,1779243748247,597762.508624,39,1779243748240,597762.502190,6.434
141,rgb/000141_1779243748278.png,1779243748278,597762.539967,38,1779243748276,597762.538423,1.544
142,rgb/000142_1779243748343.png,1779243748343,597762.604742,37,1779243748339,597762.600697,4.045
143,rgb/000143_1779243748375.png,1779243748375,597762.637132,40,1779243748379,597762.641193,4.061
144,rgb/000144_1779243748408.png,1779243748408,597762.669974,43,1779243748399,597762.661466,8.508
145,rgb/000145_1779243748440.png,1779243748440,597762.702545,43,1779243748440,597762.702390,0.156
146,rgb/000146_1779243748472.png,1779243748472,597762.734365,44,1779243748456,597762.717626,16.739
147,rgb/000147_1779243748505.png,1779243748505,597762.766705,43,1779243748498,597762.759852,6.852
148,rgb/000148_1779243748538.png,1779243748538,597762.799851,44,1779243748518,597762.780141,19.71
149,rgb/000149_1779243748570.png,1779243748570,597762.831623,46,1779243748559,597762.820748,10.875
150,rgb/000150_1779243748602.png,1779243748602,597762.864417,48,1779243748599,597762.861227,3.19
151,rgb/000151_1779243748634.png,1779243748634,597762.896507,50,1779243748635,597762.896721,0.214
152,rgb/000152_1779243748667.png,1779243748667,597762.928791,51,1779243748655,597762.917051,11.74
153,rgb/000153_1779243748700.png,1779243748700,597762.962513,52,1779243748696,597762.957651,4.862
154,rgb/000154_1779243748732.png,1779243748732,597762.993810,52,1779243748716,597762.977961,15.849
155,rgb/000155_1779243748764.png,1779243748764,597763.026534,52,1779243748758,597763.020331,6.203
156,rgb/000156_1779243748796.png,1779243748796,597763.058605,53,1779243748795,597763.056953,1.652
157,rgb/000157_1779243748829.png,1779243748829,597763.090924,51,1779243748815,597763.077263,13.661
158,rgb/000158_1779243748861.png,1779243748861,597763.123120,52,1779243748856,597763.117776,5.344
159,rgb/000159_1779243748893.png,1779243748893,597763.155476,53,1779243748896,597763.158242,2.766
160,rgb/000160_1779243748926.png,1779243748926,597763.188221,54,1779243748917,597763.179312,8.909
161,rgb/000161_1779243748959.png,1779243748959,597763.221007,53,1779243748958,597763.220536,0.47
162,rgb/000162_1779243748991.png,1779243748991,597763.253017,53,1779243748974,597763.235767,17.25
163,rgb/000163_1779243749023.png,1779243749023,597763.285331,52,1779243749015,597763.276977,8.354
164,rgb/000164_1779243749056.png,1779243749056,597763.318055,52,1779243749036,597763.298363,19.692
165,rgb/000165_1779243749088.png,1779243749088,597763.349860,52,1779243749077,597763.338918,10.941
166,rgb/000166_1779243749121.png,1779243749121,597763.383371,54,1779243749117,597763.379525,3.846
167,rgb/000167_1779243749153.png,1779243749153,597763.415217,54,1779243749138,597763.399838,15.378
168,rgb/000168_1779243749185.png,1779243749185,597763.447119,55,1779243749173,597763.435373,11.746
169,rgb/000169_1779243749218.png,1779243749218,597763.479764,57,1779243749214,597763.475877,3.887
170,rgb/000170_1779243749251.png,1779243749251,597763.513558,57,1779243749254,597763.516349,2.791
171,rgb/000171_1779243749283.png,1779243749283,597763.544664,57,1779243749275,597763.536669,7.995
172,rgb/000172_1779243749315.png,1779243749315,597763.576932,58,1779243749315,597763.577254,0.322
173,rgb/000173_1779243749347.png,1779243749347,597763.609605,58,1779243749335,597763.597563,12.042
174,rgb/000174_1779243749380.png,1779243749380,597763.641841,57,1779243749376,597763.638094,3.748
175,rgb/000175_1779243749412.png,1779243749412,597763.674134,56,1779243749417,597763.678696,4.562
176,rgb/000176_1779243749446.png,1779243749446,597763.707859,55,1779243749452,597763.714230,6.371
177,rgb/000177_1779243749477.png,1779243749477,597763.739051,55,1779243749472,597763.734549,4.502
178,rgb/000178_1779243749509.png,1779243749509,597763.771316,58,1779243749513,597763.775276,3.96
179,rgb/000179_1779243749542.png,1779243749542,597763.804043,59,1779243749533,597763.795568,8.475
180,rgb/000180_1779243749574.png,1779243749574,597763.836281,60,1779243749574,597763.836146,0.135
181,rgb/000181_1779243749607.png,1779243749607,597763.869027,61,1779243749594,597763.856431,12.596
182,rgb/000182_1779243749639.png,1779243749639,597763.900822,59,1779243749636,597763.898193,2.629
183,rgb/000183_1779243749673.png,1779243749673,597763.934854,58,1779243749673,597763.934747,0.107
184,rgb/000184_1779243749704.png,1779243749704,597763.966157,58,1779243749693,597763.955066,11.092
185,rgb/000185_1779243749736.png,1779243749736,597763.997989,58,1779243749734,597763.995708,2.282
186,rgb/000186_1779243749769.png,1779243749769,597764.031608,62,1779243749774,597764.036592,4.983
187,rgb/000187_1779243749801.png,1779243749801,597764.063389,60,1779243749795,597764.057470,5.919
188,rgb/000188_1779243749834.png,1779243749834,597764.096295,64,1779243749832,597764.094570,1.725
189,rgb/000189_1779243749866.png,1779243749866,597764.127943,62,1779243749873,597764.135337,7.394
190,rgb/000190_1779243749898.png,1779243749898,597764.160559,64,1779243749894,597764.156408,4.15
191,rgb/000191_1779243749932.png,1779243749932,597764.194089,64,1779243749932,597764.193962,0.127
192,rgb/000192_1779243749963.png,1779243749963,597764.225074,68,1779243749952,597764.214267,10.807
193,rgb/000193_1779243749996.png,1779243749996,597764.257869,66,1779243749993,597764.254901,2.968
194,rgb/000194_1779243750028.png,1779243750028,597764.289733,65,1779243750013,597764.275189,14.544
195,rgb/000195_1779243750060.png,1779243750060,597764.322268,66,1779243750054,597764.315850,6.418
196,rgb/000196_1779243750094.png,1779243750094,597764.355773,67,1779243750095,597764.356713,0.941
197,rgb/000197_1779243750125.png,1779243750125,597764.387295,68,1779243750115,597764.377017,10.278
198,rgb/000198_1779243750159.png,1779243750159,597764.421121,69,1779243750153,597764.414911,6.21
199,rgb/000199_1779243750190.png,1779243750190,597764.452293,68,1779243750174,597764.436226,16.067
200,rgb/000200_1779243750223.png,1779243750223,597764.484826,66,1779243750230,597764.492132,7.306
201,rgb/000201_1779243750255.png,1779243750255,597764.516700,64,1779243750250,597764.512416,4.284
202,rgb/000202_1779243750288.png,1779243750288,597764.549885,63,1779243750291,597764.553143,3.258
203,rgb/000203_1779243750320.png,1779243750320,597764.581711,63,1779243750311,597764.573449,8.262
204,rgb/000204_1779243750352.png,1779243750352,597764.614151,63,1779243750352,597764.614088,0.063
205,rgb/000205_1779243750384.png,1779243750384,597764.646592,62,1779243750372,597764.634423,12.169
206,rgb/000206_1779243750416.png,1779243750416,597764.678619,63,1779243750413,597764.675021,3.598
207,rgb/000207_1779243750450.png,1779243750450,597764.711683,61,1779243750454,597764.716604,4.921
208,rgb/000208_1779243750482.png,1779243750482,597764.743789,60,1779243750470,597764.731837,11.953
209,rgb/000209_1779243750515.png,1779243750515,597764.776781,61,1779243750510,597764.772425,4.356
210,rgb/000210_1779243750547.png,1779243750547,597764.809116,61,1779243750531,597764.792717,16.399
211,rgb/000211_1779243750579.png,1779243750579,597764.840916,61,1779243750572,597764.834055,6.861
212,rgb/000212_1779243750611.png,1779243750611,597764.872996,61,1779243750592,597764.854348,18.648
213,rgb/000213_1779243750643.png,1779243750643,597764.905525,60,1779243750633,597764.894902,10.623
214,rgb/000214_1779243750676.png,1779243750676,597764.937938,57,1779243750673,597764.935596,2.341
215,rgb/000215_1779243750709.png,1779243750709,597764.970710,56,1779243750709,597764.971133,0.423
216,rgb/000216_1779243750741.png,1779243750741,597765.002935,55,1779243750729,597764.991413,11.522
217,rgb/000217_1779243750773.png,1779243750773,597765.034982,53,1779243750770,597765.031954,3.028
218,rgb/000218_1779243750805.png,1779243750805,597765.067623,54,1779243750810,597765.072486,4.864
219,rgb/000219_1779243750838.png,1779243750838,597765.100422,55,1779243750831,597765.092765,7.656
220,rgb/000220_1779243750871.png,1779243750871,597765.132999,56,1779243750871,597765.133345,0.347
221,rgb/000221_1779243750904.png,1779243750904,597765.165844,56,1779243750892,597765.154339,11.505
222,rgb/000222_1779243750935.png,1779243750935,597765.197127,56,1779243750933,597765.194934,2.193
223,rgb/000223_1779243750967.png,1779243750967,597765.229445,54,1779243750969,597765.231010,1.565
224,rgb/000224_1779243751001.png,1779243751001,597765.262694,54,1779243750990,597765.251708,10.986
225,rgb/000225_1779243751033.png,1779243751033,597765.294848,54,1779243751032,597765.294005,0.843
226,rgb/000226_1779243751065.png,1779243751065,597765.326659,55,1779243751052,597765.314259,12.401
227,rgb/000227_1779243751130.png,1779243751130,597765.391658,52,1779243751128,597765.390388,1.27
228,rgb/000228_1779243751162.png,1779243751162,597765.424084,52,1779243751149,597765.410688,13.396
229,rgb/000229_1779243751195.png,1779243751195,597765.457441,48,1779243751189,597765.451351,6.09
230,rgb/000230_1779243751227.png,1779243751227,597765.489143,49,1779243751210,597765.471643,17.5
231,rgb/000231_1779243751259.png,1779243751259,597765.521389,49,1779243751251,597765.512772,8.616
232,rgb/000232_1779243751292.png,1779243751292,597765.553671,49,1779243751287,597765.549563,4.108
233,rgb/000233_1779243751324.png,1779243751324,597765.586371,50,1779243751308,597765.570438,15.932
234,rgb/000234_1779243751356.png,1779243751356,597765.618621,51,1779243751351,597765.613061,5.56
235,rgb/000235_1779243751389.png,1779243751389,597765.650840,51,1779243751387,597765.648905,1.935
236,rgb/000236_1779243751421.png,1779243751421,597765.683457,49,1779243751408,597765.670022,13.436
237,rgb/000237_1779243751454.png,1779243751454,597765.715922,50,1779243751449,597765.710684,5.237
238,rgb/000238_1779243751486.png,1779243751486,597765.748110,46,1779243751489,597765.751260,3.15
239,rgb/000239_1779243751519.png,1779243751519,597765.781052,44,1779243751509,597765.771536,9.515
240,rgb/000240_1779243751551.png,1779243751551,597765.813040,45,1779243751530,597765.791837,21.203
241,rgb/000241_1779243751584.png,1779243751584,597765.845743,43,1779243751591,597765.852633,6.89
